countryCode,screening_arrivals,quarantine_arrivals,ban_arrivals_from_some_regions,ban_on_all_regions_or_total_border_closure
ABW,,,01-06-2020,19-04-2020
AFG,,,08-06-2020,
AGO,,29-02-2020,19-03-2020,04-06-2020
ALB,25-02-2020,,,
AND,,31-05-2020,10-05-2020,
ARE,23-01-2020,,,
ARG,,15-03-2020,,08-06-2020
AUS,,,19-03-2020,06-06-2020
AUT,,08-06-2020,03-06-2020,
AZE,30-01-2020,,,
BDI,,21-03-2020,03-04-2020,10-06-2020
BEL,04-03-2020,,,
BEN,01-02-2020,,,
BFA,,,,01-06-2020
BGD,22-01-2020,,,
BGR,03-02-2020,,,
BHR,27-01-2020,,,
BIH,,,10-05-2020,28-05-2020
BLR,,,09-06-2020,
BLZ,11-03-2020,,,
BMU,,,19-03-2020,07-06-2020
BOL,,,30-03-2020,08-06-2020
BRA,,18-03-2020,26-03-2020,07-06-2020
BRB,15-02-2020,,,
BRN,,,23-03-2020,10-06-2020
BTN,15-01-2020,,,
BWA,28-01-2020,,,
CAF,,,,27-05-2020
CAN,22-01-2020,,,
CHE,,,31-05-2020,
CHL,,,31-05-2020,
CHN,,25-03-2020,10-06-2020,
CIV,,,21-03-2020,01-06-2020
CMR,13-03-2020,,,
COL,,22-03-2020,24-03-2020,07-06-2020
CRI,,,,10-06-2020
CUB,21-02-2020,,,
CYP,,14-03-2020,10-06-2020,08-06-2020
CZE,27-01-2020,,,
DEU,28-02-2020,,,
DJI,,,,04-06-2020
DMA,22-03-2020,,,
DNK,,10-03-2020,10-06-2020,24-05-2020
DOM,,,18-03-2020,10-06-2020
DZA,12-03-2020,,,
ECU,02-03-2020,,,
EGY,,,,06-06-2020
ERI,,24-03-2020,07-06-2020,
ESP,,,16-03-2020,10-06-2020
EST,12-03-2020,,,
ETH,16-03-2020,,,
FIN,,,05-06-2020,13-05-2020
FJI,,,28-03-2020,08-06-2020
FRA,23-01-2020,,,
GAB,,,19-03-2020,08-06-2020
GBR,,,,
GEO,,,17-03-2020,04-06-2020
GHA,24-01-2020,,,
GIN,07-03-2020,,,
GMB,,,22-03-2020,08-06-2020
GRC,,,08-06-2020,
GRL,,,,10-06-2020
GTM,21-01-2020,,,
GUM,,,04-06-2020,
GUY,18-01-2020,,,
HKG,01-01-2020,,,
HND,,,20-03-2020,07-06-2020
HRV,04-02-2020,,,
HTI,12-03-2020,,,
HUN,,,04-06-2020,03-05-2020
IDN,18-01-2020,,,
IND,26-01-2020,,,
IRL,,04-06-2020,,
IRN,,,,
IRQ,,,16-03-2020,08-06-2020
ISL,,19-03-2020,04-06-2020,
ISR,,,11-03-2020,04-06-2020
ITA,23-01-2020,,,
JAM,,04-06-2020,20-03-2020,31-05-2020
JOR,,,,07-06-2020
JPN,07-01-2020,,,
KAZ,,15-03-2020,,01-06-2020
KEN,20-01-2020,,,
KGZ,22-01-2020,,,
KHM,,03-06-2020,07-04-2020,
KWT,21-02-2020,,,
LAO,,25-03-2020,29-03-2020,06-06-2020
LBN,08-02-2020,,,
LBR,,15-03-2020,03-06-2020,04-06-2020
LBY,,,,07-06-2020
LKA,26-01-2020,,,
LSO,,28-03-2020,,08-06-2020
LTU,,15-03-2020,04-06-2020,10-05-2020
LUX,,,,
MAR,,,19-03-2020,06-06-2020
MDA,26-02-2020,,,
MDG,,,19-03-2020,07-06-2020
MEX,28-02-2020,,,
MLI,,,30-04-2020,04-06-2020
MMR,01-02-2020,,,
MNG,,,23-03-2020,31-05-2020
MOZ,11-02-2020,,,
MRT,,22-03-2020,,28-05-2020
MUS,,18-03-2020,,01-06-2020
MWI,,,01-06-2020,
MYS,,,22-05-2020,06-06-2020
NAM,01-03-2020,,,
NER,,,,31-05-2020
NGA,,,,05-06-2020
NIC,21-02-2020,,,
NLD,,,10-06-2020,
NOR,,14-03-2020,,10-06-2020
NPL,25-01-2020,,,
NZL,,,19-03-2020,10-06-2020
OMN,,,17-03-2020,04-06-2020
PAK,,,07-06-2020,20-05-2020
PAN,22-01-2020,,,
PER,06-03-2020,,,
PHL,,,21-03-2020,04-06-2020
PNG,28-01-2020,,,
POL,09-03-2020,,,
PRI,30-01-2020,,,
PRT,,,03-06-2020,
PRY,,,23-03-2020,01-06-2020
QAT,24-01-2020,,,
XKX,,12-03-2020,,01-06-2020
ROU,27-01-2020,,,
RUS,,,29-03-2020,08-06-2020
RWA,27-01-2020,,,
SAU,,,,05-06-2020
SDN,,,,08-06-2020
SEN,15-03-2020,,,
SGP,02-01-2020,,,
SLE,,,27-03-2020,07-06-2020
SLV,,,11-03-2020,01-06-2020
SMR,,01-06-2020,,02-05-2020
SOM,,,17-03-2020,08-06-2020
SRB,22-01-2020,,,
SSD,,28-05-2020,23-03-2020,11-05-2020
SUR,,,,10-06-2020
SVK,,12-03-2020,08-06-2020,04-06-2020
SVN,,10-06-2020,13-05-2020,
SWE,,,10-06-2020,
SYC,,09-03-2020,10-06-2020,31-05-2020
SYR,01-02-2020,,,
TCD,,17-03-2020,12-04-2020,03-06-2020
THA,,24-03-2020,05-06-2020,30-04-2020
TJK,,02-03-2020,09-04-2020,07-06-2020
TLS,03-02-2020,,,
TTO,,22-03-2020,,08-06-2020
TUN,04-03-2020,,,
TUR,24-01-2020,,,
TZA,14-03-2020,,,
UGA,20-01-2020,,,
UKR,,,,08-06-2020
URY,,15-03-2020,23-03-2020,04-06-2020
USA,,01-03-2020,04-06-2020,
UZB,,15-03-2020,,09-06-2020
VEN,,,17-03-2020,01-06-2020
VNM,25-01-2020,,,
YEM,,,,08-06-2020
ZAF,23-01-2020,,,
ZMB,,05-06-2020,,01-05-2020
ZWE,28-01-2020,,,
ARM,,,,
ATG,,,,
BHS,,,,
COM,,,,
CUW,,,,
CYM,,,,
FRO,,,,
GIB,,,,
GNB,,,,
GNQ,,,,
IMN,,,,
LIE,,,,
LVA,,,,
MCO,,,,
MDV,,,,
MLT,,,,
MNE,,,,
MNP,,,,
NCL,,,,
PYF,,,,
STP,,,,
SXM,,,,
TCA,,,,
TGO,,,,
GRD,,,,
VGB,,,,
