countryCode,_1st_case,_100th_case,_1000th_case,_10000th_case,_100000th_case,_1000000th_case
ABW,13-03-2020,23-04-2020,,,,
AFG,25-02-2020,29-03-2020,21-04-2020,25-05-2020,,
AGO,22-03-2020,,,,,
ALB,09-03-2020,24-03-2020,26-05-2020,,,
AND,03-03-2020,23-03-2020,,,,
ARE,27-01-2020,18-03-2020,03-04-2020,27-04-2020,,
ARG,04-03-2020,20-03-2020,02-04-2020,23-05-2020,,
AUS,25-01-2020,10-03-2020,22-03-2020,,,
AUT,26-02-2020,09-03-2020,17-03-2020,01-04-2020,,
AZE,29-02-2020,27-03-2020,12-04-2020,,,
BDI,01-04-2020,,,,,
BEL,04-02-2020,07-03-2020,17-03-2020,30-03-2020,,
BEN,17-03-2020,07-05-2020,,,,
BFA,11-03-2020,26-03-2020,,,,
BGD,09-03-2020,07-04-2020,15-04-2020,05-05-2020,,
BGR,08-03-2020,20-03-2020,23-04-2020,,,
BHR,24-02-2020,10-03-2020,12-04-2020,29-05-2020,,
BIH,06-03-2020,23-03-2020,13-04-2020,,,
BLR,28-02-2020,31-03-2020,09-04-2020,27-04-2020,,
BLZ,24-03-2020,,,,,
BMU,20-03-2020,27-04-2020,,,,
BOL,12-03-2020,31-03-2020,28-04-2020,02-06-2020,,
BRA,26-02-2020,15-03-2020,22-03-2020,05-04-2020,04-05-2020,
BRB,18-03-2020,,,,,
BRN,10-03-2020,25-03-2020,,,,
BTN,06-03-2020,,,,,
BWA,01-04-2020,,,,,
CAF,16-03-2020,09-05-2020,01-06-2020,,,
CAN,26-01-2020,12-03-2020,22-03-2020,03-04-2020,,
CHE,26-02-2020,07-03-2020,14-03-2020,27-03-2020,,
CHL,04-03-2020,17-03-2020,26-03-2020,20-04-2020,02-06-2020,
CHN,01-01-2020,19-01-2020,25-01-2020,01-02-2020,,
CIV,12-03-2020,28-03-2020,24-04-2020,,,
CMR,07-03-2020,31-03-2020,18-04-2020,,,
COL,07-03-2020,19-03-2020,02-04-2020,09-05-2020,,
CRI,07-03-2020,21-03-2020,29-05-2020,,,
CUB,12-03-2020,29-03-2020,20-04-2020,,,
CYP,10-03-2020,24-03-2020,,,,
CZE,02-03-2020,13-03-2020,23-03-2020,,,
DEU,28-01-2020,01-03-2020,10-03-2020,20-03-2020,08-04-2020,
DJI,19-03-2020,08-04-2020,26-04-2020,,,
DMA,23-03-2020,,,,,
DNK,27-02-2020,10-03-2020,18-03-2020,08-05-2020,,
DOM,02-03-2020,22-03-2020,01-04-2020,11-05-2020,,
DZA,26-02-2020,21-03-2020,04-04-2020,07-06-2020,,
ECU,01-03-2020,18-03-2020,25-03-2020,21-04-2020,,
EGY,15-02-2020,16-03-2020,06-04-2020,13-05-2020,,
ERI,22-03-2020,,,,,
ESP,01-02-2020,02-03-2020,08-03-2020,16-03-2020,31-03-2020,
EST,28-02-2020,15-03-2020,05-04-2020,,,
ETH,14-03-2020,19-04-2020,31-05-2020,,,
FIN,30-01-2020,13-03-2020,28-03-2020,,,
FJI,20-03-2020,,,,,
FRA,25-01-2020,01-03-2020,09-03-2020,20-03-2020,15-04-2020,
GAB,13-03-2020,18-04-2020,14-05-2020,,,
GBR,31-01-2020,06-03-2020,15-03-2020,27-03-2020,17-04-2020,
GEO,27-02-2020,01-04-2020,,,,
GHA,13-03-2020,27-03-2020,20-04-2020,10-06-2020,,
GIN,14-03-2020,05-04-2020,27-04-2020,,,
GMB,18-03-2020,,,,,
GRC,27-02-2020,13-03-2020,29-03-2020,,,
GRL,20-03-2020,,,,,
GTM,15-03-2020,10-04-2020,11-05-2020,,,
GUM,19-03-2020,06-04-2020,,,,
GUY,13-03-2020,11-05-2020,,,,
HKG,23-01-2020,02-03-2020,11-04-2020,,,
HND,12-03-2020,29-03-2020,03-05-2020,,,
HRV,26-02-2020,20-03-2020,03-04-2020,,,
HTI,20-03-2020,05-05-2020,26-05-2020,,,
HUN,05-03-2020,21-03-2020,10-04-2020,,,
IDN,02-03-2020,16-03-2020,28-03-2020,01-05-2020,,
IND,30-01-2020,17-03-2020,30-03-2020,14-04-2020,19-05-2020,
IRL,01-03-2020,15-03-2020,24-03-2020,14-04-2020,,
IRN,20-02-2020,27-02-2020,03-03-2020,13-03-2020,07-05-2020,
IRQ,25-02-2020,16-03-2020,07-04-2020,07-06-2020,,
ISL,29-02-2020,13-03-2020,30-03-2020,,,
ISR,22-02-2020,14-03-2020,23-03-2020,11-04-2020,,
ITA,31-01-2020,24-02-2020,01-03-2020,11-03-2020,31-03-2020,
JAM,12-03-2020,15-04-2020,,,,
JOR,03-03-2020,24-03-2020,,,,
JPN,15-01-2020,22-02-2020,21-03-2020,19-04-2020,,
KAZ,15-03-2020,27-03-2020,14-04-2020,30-05-2020,,
KEN,14-03-2020,03-04-2020,21-05-2020,,,
KGZ,19-03-2020,01-04-2020,10-05-2020,,,
KHM,28-01-2020,28-03-2020,,,,
KWT,24-02-2020,14-03-2020,12-04-2020,13-05-2020,,
LAO,25-03-2020,,,,,
LBN,22-02-2020,17-03-2020,22-05-2020,,,
LBR,17-03-2020,22-04-2020,,,,
LBY,25-03-2020,29-05-2020,,,,
LKA,28-01-2020,25-03-2020,20-05-2020,,,
LSO,15-05-2020,,,,,
LTU,28-02-2020,22-03-2020,12-04-2020,,,
LUX,01-03-2020,18-03-2020,25-03-2020,,,
MAR,03-03-2020,23-03-2020,06-04-2020,,,
MDA,08-03-2020,24-03-2020,08-04-2020,10-06-2020,,
MDG,21-03-2020,11-04-2020,07-06-2020,,,
MEX,29-02-2020,19-03-2020,31-03-2020,23-04-2020,04-06-2020,
MLI,26-03-2020,12-04-2020,24-05-2020,,,
MMR,21-03-2020,19-04-2020,,,,
MNG,10-03-2020,16-05-2020,,,,
MOZ,23-03-2020,12-05-2020,,,,
MRT,15-03-2020,21-05-2020,10-06-2020,,,
MUS,20-03-2020,29-03-2020,,,,
MWI,03-04-2020,26-05-2020,,,,
MYS,25-01-2020,10-03-2020,21-03-2020,,,
NAM,15-03-2020,15-03-2020,,,,
NER,21-03-2020,05-04-2020,,,,
NGA,28-02-2020,31-03-2020,25-04-2020,01-06-2020,,
NIC,19-03-2020,23-05-2020,03-06-2020,,,
NLD,28-02-2020,07-03-2020,16-03-2020,30-03-2020,,
NOR,27-02-2020,07-03-2020,16-03-2020,,,
NPL,25-01-2020,08-05-2020,29-05-2020,,,
NZL,28-02-2020,23-03-2020,10-04-2020,,,
OMN,25-02-2020,27-03-2020,17-04-2020,31-05-2020,,
PAK,27-02-2020,17-03-2020,26-03-2020,24-04-2020,08-06-2020,
PAN,10-03-2020,19-03-2020,31-03-2020,22-05-2020,,
PER,07-03-2020,18-03-2020,01-04-2020,15-04-2020,21-05-2020,
PHL,30-01-2020,15-03-2020,29-03-2020,07-05-2020,,
PNG,21-03-2020,,,,,
POL,04-03-2020,15-03-2020,26-03-2020,23-04-2020,,
PRI,28-03-2020,29-03-2020,17-04-2020,,,
PRT,03-03-2020,14-03-2020,21-03-2020,05-04-2020,,
PRY,08-03-2020,05-04-2020,03-06-2020,,,
QAT,01-03-2020,12-03-2020,05-04-2020,27-04-2020,,
XKX,26-03-2020,31-03-2020,21-05-2020,,,
ROU,27-02-2020,15-03-2020,27-03-2020,24-04-2020,,
RUS,01-02-2020,18-03-2020,28-03-2020,10-04-2020,01-05-2020,
RWA,15-03-2020,05-04-2020,,,,
SAU,03-03-2020,16-03-2020,27-03-2020,21-04-2020,08-06-2020,
SDN,14-03-2020,22-04-2020,09-05-2020,,,
SEN,03-03-2020,27-03-2020,02-05-2020,,,
SGP,24-01-2020,01-03-2020,02-04-2020,23-04-2020,,
SLE,01-04-2020,29-04-2020,09-06-2020,,,
SLV,19-03-2020,09-04-2020,13-05-2020,,,
SMR,28-02-2020,17-03-2020,,,,
SOM,17-03-2020,18-04-2020,11-05-2020,,,
SRB,07-03-2020,20-03-2020,02-04-2020,10-05-2020,,
SSD,06-04-2020,09-05-2020,05-06-2020,,,
SUR,15-03-2020,07-06-2020,,,,
SVK,07-03-2020,19-03-2020,18-04-2020,,,
SVN,05-03-2020,14-03-2020,07-04-2020,,,
SWE,01-02-2020,07-03-2020,16-03-2020,12-04-2020,,
SYC,15-03-2020,,,,,
SYR,23-03-2020,26-05-2020,,,,
TCD,20-03-2020,03-05-2020,,,,
THA,13-01-2020,16-03-2020,26-03-2020,,,
TJK,01-05-2020,05-05-2020,16-05-2020,,,
TLS,22-03-2020,,,,,
TTO,13-03-2020,04-04-2020,,,,
TUN,03-03-2020,25-03-2020,03-05-2020,,,
TUR,12-03-2020,19-03-2020,23-03-2020,31-03-2020,24-04-2020,
TZA,17-03-2020,18-04-2020,,,,
UGA,22-03-2020,08-05-2020,,,,
UKR,04-03-2020,26-03-2020,05-04-2020,01-05-2020,,
URY,15-03-2020,21-03-2020,,,,
USA,21-01-2020,03-03-2020,11-03-2020,20-03-2020,28-03-2020,29-04-2020
UZB,16-03-2020,28-03-2020,15-04-2020,,,
VEN,15-03-2020,26-03-2020,25-05-2020,,,
VNM,24-01-2020,23-03-2020,,,,
YEM,10-04-2020,16-05-2020,,,,
ZAF,06-03-2020,19-03-2020,28-03-2020,11-05-2020,,
ZMB,19-03-2020,01-05-2020,28-05-2020,,,
ZWE,21-03-2020,28-05-2020,,,,
ARM,,,,,,
ATG,,,,,,
BHS,,,,,,
COM,,,,,,
CUW,,,,,,
CYM,,,,,,
FRO,,,,,,
GIB,,,,,,
GNB,,,,,,
GNQ,,,,,,
IMN,,,,,,
LIE,,,,,,
LVA,,,,,,
MCO,,,,,,
MDV,,,,,,
MLT,,,,,,
MNE,,,,,,
MNP,,,,,,
NCL,,,,,,
PYF,,,,,,
STP,,,,,,
SXM,,,,,,
TCA,,,,,,
TGO,,,,,,
GRD,,,,,,
VGB,,,,,,
