id,countryCode,date,totalCases,newCases,totalDeaths,newDeaths
0,AFG,2020-01-01,0,0,0,0
1,AFG,2020-01-02,0,0,0,0
2,AFG,2020-01-03,0,0,0,0
3,AFG,2020-01-04,0,0,0,0
4,AFG,2020-01-05,0,0,0,0
5,AFG,2020-01-06,0,0,0,0
6,AFG,2020-01-07,0,0,0,0
7,AFG,2020-01-08,0,0,0,0
8,AFG,2020-01-09,0,0,0,0
9,AFG,2020-01-10,0,0,0,0
10,AFG,2020-01-11,0,0,0,0
11,AFG,2020-01-12,0,0,0,0
12,AFG,2020-01-13,0,0,0,0
13,AFG,2020-01-14,0,0,0,0
14,AFG,2020-01-15,0,0,0,0
15,AFG,2020-01-16,0,0,0,0
16,AFG,2020-01-17,0,0,0,0
17,AFG,2020-01-18,0,0,0,0
18,AFG,2020-01-19,0,0,0,0
19,AFG,2020-01-20,0,0,0,0
20,AFG,2020-01-21,0,0,0,0
21,AFG,2020-01-22,0,0,0,0
22,AFG,2020-01-23,0,0,0,0
23,AFG,2020-01-24,0,0,0,0
24,AFG,2020-01-25,0,0,0,0
25,AFG,2020-01-26,0,0,0,0
26,AFG,2020-01-27,0,0,0,0
27,AFG,2020-01-28,0,0,0,0
28,AFG,2020-01-29,0,0,0,0
29,AFG,2020-01-30,0,0,0,0
30,AFG,2020-01-31,0,0,0,0
31,AFG,2020-02-01,0,0,0,0
32,AFG,2020-02-02,0,0,0,0
33,AFG,2020-02-03,0,0,0,0
34,AFG,2020-02-04,0,0,0,0
35,AFG,2020-02-05,0,0,0,0
36,AFG,2020-02-06,0,0,0,0
37,AFG,2020-02-07,0,0,0,0
38,AFG,2020-02-08,0,0,0,0
39,AFG,2020-02-09,0,0,0,0
40,AFG,2020-02-10,0,0,0,0
41,AFG,2020-02-11,0,0,0,0
42,AFG,2020-02-12,0,0,0,0
43,AFG,2020-02-13,0,0,0,0
44,AFG,2020-02-14,0,0,0,0
45,AFG,2020-02-15,0,0,0,0
46,AFG,2020-02-16,0,0,0,0
47,AFG,2020-02-17,0,0,0,0
48,AFG,2020-02-18,0,0,0,0
49,AFG,2020-02-19,0,0,0,0
50,AFG,2020-02-20,0,0,0,0
51,AFG,2020-02-21,0,0,0,0
52,AFG,2020-02-22,0,0,0,0
53,AFG,2020-02-23,0,0,0,0
54,AFG,2020-02-24,0,0,0,0
55,AFG,2020-02-25,1,1,0,0
56,AFG,2020-02-26,1,0,0,0
57,AFG,2020-02-27,1,0,0,0
58,AFG,2020-02-28,1,0,0,0
59,AFG,2020-02-29,1,0,0,0
60,AFG,2020-03-01,1,0,0,0
61,AFG,2020-03-02,1,0,0,0
62,AFG,2020-03-08,4,3,0,0
63,AFG,2020-03-11,7,3,0,0
64,AFG,2020-03-15,10,3,0,0
65,AFG,2020-03-16,16,6,0,0
66,AFG,2020-03-17,21,5,0,0
67,AFG,2020-03-18,22,1,0,0
68,AFG,2020-03-19,22,0,0,0
69,AFG,2020-03-20,22,0,0,0
70,AFG,2020-03-21,24,2,0,0
71,AFG,2020-03-22,24,0,0,0
72,AFG,2020-03-23,34,10,0,0
73,AFG,2020-03-24,40,6,1,1
74,AFG,2020-03-25,42,2,1,0
75,AFG,2020-03-26,75,33,1,0
76,AFG,2020-03-27,75,0,1,0
77,AFG,2020-03-28,91,16,2,1
78,AFG,2020-03-29,106,15,3,1
79,AFG,2020-03-30,114,8,4,1
80,AFG,2020-03-31,141,27,4,0
81,AFG,2020-04-01,166,25,4,0
82,AFG,2020-04-02,192,26,4,0
83,AFG,2020-04-03,235,43,4,0
84,AFG,2020-04-04,235,0,4,0
85,AFG,2020-04-05,270,35,5,1
86,AFG,2020-04-06,299,29,7,2
87,AFG,2020-04-07,337,38,7,0
88,AFG,2020-04-08,367,30,11,4
89,AFG,2020-04-09,423,56,14,3
90,AFG,2020-04-10,484,61,15,1
91,AFG,2020-04-11,521,37,15,0
92,AFG,2020-04-12,555,34,18,3
93,AFG,2020-04-13,607,52,18,0
94,AFG,2020-04-14,665,58,21,3
95,AFG,2020-04-15,714,49,23,2
96,AFG,2020-04-16,784,70,25,2
97,AFG,2020-04-17,794,10,29,4
98,AFG,2020-04-18,845,51,30,1
99,AFG,2020-04-19,908,63,30,0
100,AFG,2020-04-20,996,88,33,3
101,AFG,2020-04-21,1031,35,35,2
102,AFG,2020-04-22,1092,61,36,1
103,AFG,2020-04-23,1176,84,40,4
104,AFG,2020-04-24,1281,105,42,2
105,AFG,2020-04-25,1351,70,43,1
106,AFG,2020-04-26,1463,112,47,4
107,AFG,2020-04-27,1531,68,57,10
108,AFG,2020-04-28,1703,172,57,0
109,AFG,2020-04-29,1827,124,60,3
110,AFG,2020-04-30,1949,122,60,0
111,AFG,2020-05-01,2171,222,64,4
112,AFG,2020-05-02,2335,164,68,4
113,AFG,2020-05-03,2469,134,72,4
114,AFG,2020-05-04,2704,235,85,13
115,AFG,2020-05-05,2894,190,90,5
116,AFG,2020-05-06,3224,330,95,5
117,AFG,2020-05-07,3392,168,104,9
118,AFG,2020-05-08,3563,171,106,2
119,AFG,2020-05-09,3778,215,109,3
120,AFG,2020-05-10,4033,255,115,6
121,AFG,2020-05-11,4402,369,120,5
122,AFG,2020-05-12,4687,285,122,2
123,AFG,2020-05-13,4967,280,127,5
124,AFG,2020-05-14,5226,259,130,3
125,AFG,2020-05-15,5339,113,136,6
126,AFG,2020-05-16,6402,1063,168,32
127,AFG,2020-05-17,6402,0,168,0
128,AFG,2020-05-18,6664,262,169,1
129,AFG,2020-05-19,7072,408,173,4
130,AFG,2020-05-20,7653,581,178,5
131,AFG,2020-05-21,8145,492,187,9
132,AFG,2020-05-22,8676,531,193,6
133,AFG,2020-05-23,9216,540,205,12
134,AFG,2020-05-24,9998,782,216,11
135,AFG,2020-05-25,10582,584,218,2
136,AFG,2020-05-26,11173,591,219,1
137,AFG,2020-05-27,11831,658,220,1
138,AFG,2020-05-28,12456,625,227,7
139,AFG,2020-05-29,13036,580,235,8
140,AFG,2020-05-30,13659,623,246,11
141,AFG,2020-05-31,14525,866,249,3
142,AFG,2020-06-01,15205,680,257,8
143,AFG,2020-06-02,15750,545,265,8
144,AFG,2020-06-03,16509,759,270,5
145,AFG,2020-06-04,17267,758,294,24
146,AFG,2020-06-05,18054,787,300,6
147,AFG,2020-06-06,18969,915,309,9
148,AFG,2020-06-07,19551,582,327,18
149,AFG,2020-06-08,20342,791,357,30
150,AFG,2020-06-09,20917,575,369,12
151,AFG,2020-06-10,21459,542,384,15
152,ALB,2020-03-09,2,2,0,0
153,ALB,2020-03-10,6,4,0,0
154,ALB,2020-03-11,10,4,0,0
155,ALB,2020-03-12,11,1,1,1
156,ALB,2020-03-13,23,12,1,0
157,ALB,2020-03-14,33,10,1,0
158,ALB,2020-03-15,38,5,1,0
159,ALB,2020-03-16,42,4,1,0
160,ALB,2020-03-17,51,9,1,0
161,ALB,2020-03-18,55,4,1,0
162,ALB,2020-03-19,59,4,2,1
163,ALB,2020-03-20,70,11,2,0
164,ALB,2020-03-21,70,0,2,0
165,ALB,2020-03-22,76,6,2,0
166,ALB,2020-03-23,89,13,2,0
167,ALB,2020-03-24,100,11,4,2
168,ALB,2020-03-25,123,23,5,1
169,ALB,2020-03-26,146,23,5,0
170,ALB,2020-03-27,174,28,6,1
171,ALB,2020-03-28,186,12,9,3
172,ALB,2020-03-29,197,11,10,1
173,ALB,2020-03-30,212,15,10,0
174,ALB,2020-03-31,223,11,12,2
175,ALB,2020-04-01,243,20,15,3
176,ALB,2020-04-02,259,16,15,0
177,ALB,2020-04-03,277,18,16,1
178,ALB,2020-04-04,304,27,17,1
179,ALB,2020-04-05,333,29,19,2
180,ALB,2020-04-06,361,28,21,2
181,ALB,2020-04-07,377,16,22,1
182,ALB,2020-04-08,383,6,22,0
183,ALB,2020-04-09,400,17,22,0
184,ALB,2020-04-10,409,9,23,1
185,ALB,2020-04-11,416,7,23,0
186,ALB,2020-04-12,433,17,23,0
187,ALB,2020-04-13,446,13,23,0
188,ALB,2020-04-14,467,21,23,0
189,ALB,2020-04-15,475,8,24,1
190,ALB,2020-04-16,494,19,25,1
191,ALB,2020-04-17,518,24,26,1
192,ALB,2020-04-18,539,21,26,0
193,ALB,2020-04-19,548,9,26,0
194,ALB,2020-04-20,562,14,26,0
195,ALB,2020-04-21,584,22,26,0
196,ALB,2020-04-22,609,25,26,0
197,ALB,2020-04-23,634,25,27,1
198,ALB,2020-04-24,663,29,27,0
199,ALB,2020-04-25,678,15,27,0
200,ALB,2020-04-26,712,34,27,0
201,ALB,2020-04-27,726,14,28,1
202,ALB,2020-04-28,736,10,28,0
203,ALB,2020-04-29,750,14,30,2
204,ALB,2020-04-30,766,16,31,1
205,ALB,2020-05-01,773,7,31,0
206,ALB,2020-05-02,782,9,31,0
207,ALB,2020-05-03,789,7,31,0
208,ALB,2020-05-04,795,6,31,0
209,ALB,2020-05-05,803,8,31,0
210,ALB,2020-05-06,820,17,31,0
