countryCode,childrenOutOfSchool,compulsoryEducation,educationalAttainmentAtLeastPrimary,governmentExpenditureOnEducation
AFG,,9.0,,4.22836
ALB,2.34458,9.0,,3.96209
DZA,0.72481,10.0,,
AND,,10.0,96.51884,3.2567
AGO,,6.0,,
ATG,,11.0,,
ARG,0.45239,14.0,91.93097,5.54549
ARM,7.50256,12.0,,2.75812
ABW,,13.0,,6.1899
AUS,0.04413,10.0,,5.27163
AUT,0.20606,10.0,,5.5007
AZE,0.79463,10.0,98.49615,2.90341
BHS,22.31996,12.0,,
BHR,1.21659,9.0,76.74711,
BGD,,5.0,56.30396,1.53554
BRB,1.96152,11.0,,5.09272
BLR,0.51882,9.0,,4.94655
BEL,0.70629,12.0,95.69925,6.54513
BLZ,0.52571,8.0,,7.12481
BEN,,6.0,,3.99469
BMU,,13.0,,
BTN,10.28901,,,6.80249
BOL,10.01542,14.0,,
BIH,,9.0,83.74911,
BRA,,14.0,78.48146,
VGB,,12.0,,
BRN,0.15732,9.0,,4.42541
BGR,10.25259,11.0,,
BFA,24.14707,10.0,,
BDI,,,,4.69272
KHM,7.02104,,,
CMR,4.97845,6.0,,2.65423
CAN,0.04413,10.0,,
CYM,,12.0,,
CAF,,10.0,,
TCD,26.48131,10.0,,
CHL,3.06315,12.0,,5.34415
CHN,,9.0,,
COL,4.57531,12.0,77.05509,4.47721
COM,,6.0,,
CRI,1.45387,13.0,81.24023,7.09768
CIV,12.98358,10.0,,5.39423
HRV,1.59305,8.0,,
CUB,5.46626,9.0,,
CUW,,14.0,,
CYP,1.73635,10.0,95.01129,6.29136
CZE,0.33079,9.0,99.83921,5.58738
DNK,0.01017,10.0,,
DJI,42.61848,10.0,,5.79128
DMA,0.95625,12.0,,
DOM,4.57933,15.0,,
ECU,1.07116,15.0,82.73646,
EGY,0.51305,12.0,,
SLV,10.42136,15.0,58.64975,3.83115
GNQ,,6.0,,
ERI,,8.0,,
EST,2.63127,9.0,,5.17316
ETH,,8.0,,
FRO,,9.0,,
FJI,0.5569,,,
FIN,0.72933,10.0,,6.89735
FRA,0.1672,10.0,97.62647,
GAB,,10.0,,
GMB,22.34824,9.0,,2.05946
