countryCode,causeOfDeathByCommunicableDiseases,healthExpenditure,lifeExpectancy,mortalityFemaleRate,mortalityInfantRate,mortalityMaleRate,mortalityRateDueToUnsafeWater,peopleWithBasicHandwashingFacilities
AFG,36.4,10.9619833528996,63.763,202.465,51.2,244.519,13.9,37.6665345570879
ALB,2.9,,78.194,50.539,8.2,96.833,0.2,
DZA,14.8,6.60384446382523,76.298,83.113,21.0,105.595,1.9,83.6527818640751
AND,,10.3241071105003,,,3.0,,,
AGO,63.4,2.71314904093742,59.925,203.1,55.5,276.573,48.8,26.5212733758645
ATG,11.9,4.35729622840881,76.617,105.69,5.4,151.416,0.1,
ARG,15.9,7.54439905285835,76.221,81.211,9.7,150.473,0.4,
ARM,2.8,9.95196625590324,74.64,74.168,12.2,173.906,0.2,93.3810053216644
ABW,,,75.868,70.479,,113.686,,
AUS,4.6,9.19608399271965,82.4487804878049,44.673,3.2,75.835,0.1,
AUT,2.6,10.4191698133945,81.64146341463416,43.796,3.0,80.37,0.1,
AZE,8.8,6.66313469409943,72.493,89.452,21.8,155.549,1.1,83.2413
BHS,16.9,6.07141181826591,73.329,117.541,8.8,196.516,0.1,
BHR,6.9,4.85823042690754,76.899,58.05,6.4,73.481,0.1,
BGD,25.6,2.31177993118763,71.785,106.653,28.0,147.869,11.9,34.6109077658593
BRB,13.0,6.85200393199921,78.888,73.173,12.0,122.52,0.2,88.4693506083686
BLR,2.5,5.91054148972034,73.8268292682927,82.559,2.9,234.903,0.1,
BEL,7.9,10.3044547140598,81.4390243902439,51.237,3.1,86.08,0.3,
BLZ,19.4,6.09697625041008,74.219,126.096,12.5,218.238,1.0,88.5567268095959
BEN,54.1,3.85561250150204,60.885,216.912,63.2,263.52,59.7,10.9773768316344
BMU,,,81.22707317073171,,,,,
BTN,20.9,3.48776765167713,70.781,204.241,26.5,203.668,3.9,
BOL,22.4,6.8528488278389,70.626,149.191,23.8,214.36,5.6,25.3525843189488
BIH,1.8,9.22786220908165,76.998,63.799,5.2,125.478,0.1,97.1638030400127
BWA,46.0,5.56052215397358,68.178,179.033,32.3,276.666,11.8,
BRA,13.9,9.20620560646057,75.23,93.708,14.6,191.109,1.0,
VGB,,,,,,,,
