countryCode,_1st_death,_100th_death,_1000th_death,_10000th_death,_100000th_death,_1000000th_death
ABW,16-04-2020,,,,,
AFG,24-03-2020,07-05-2020,,,,
AGO,30-03-2020,,,,,
ALB,12-03-2020,,,,,
AND,27-03-2020,,,,,
ARE,22-03-2020,01-05-2020,,,,
ARG,08-03-2020,15-04-2020,,,,
AUS,01-03-2020,21-05-2020,,,,
AUT,13-03-2020,31-03-2020,,,,
AZE,21-03-2020,,,,,
BDI,15-04-2020,,,,,
BEL,12-03-2020,25-03-2020,03-04-2020,,,
BEN,07-04-2020,,,,,
BFA,19-03-2020,,,,,
BGD,22-03-2020,21-04-2020,,,,
BGR,12-03-2020,16-05-2020,,,,
BHR,17-03-2020,,,,,
BIH,22-03-2020,11-05-2020,,,,
BLR,03-04-2020,05-05-2020,,,,
BLZ,06-04-2020,,,,,
BMU,07-04-2020,,,,,
BOL,30-03-2020,08-05-2020,,,,
BRA,18-03-2020,29-03-2020,11-04-2020,10-05-2020,,
BRB,06-04-2020,,,,,
BRN,29-03-2020,,,,,
BTN,,,,,,
BWA,02-04-2020,,,,,
CAF,24-05-2020,,,,,
CAN,10-03-2020,02-04-2020,16-04-2020,,,
CHE,06-03-2020,26-03-2020,17-04-2020,,,
CHL,23-03-2020,17-04-2020,01-06-2020,,,
CHN,11-01-2020,28-01-2020,11-02-2020,,,
CIV,30-03-2020,,,,,
CMR,25-03-2020,07-05-2020,,,,
COL,22-03-2020,12-04-2020,03-06-2020,,,
CRI,19-03-2020,,,,,
CUB,19-03-2020,,,,,
CYP,25-03-2020,,,,,
CZE,23-03-2020,10-04-2020,,,,
DEU,10-03-2020,24-03-2020,03-04-2020,,,
DJI,10-04-2020,,,,,
DMA,,,,,,
DNK,16-03-2020,02-04-2020,,,,
DOM,21-03-2020,09-04-2020,,,,
DZA,13-03-2020,04-04-2020,,,,
ECU,14-03-2020,02-04-2020,02-05-2020,,,
EGY,09-03-2020,09-04-2020,02-06-2020,,,
ERI,,,,,,
ESP,05-03-2020,14-03-2020,21-03-2020,03-04-2020,,
EST,26-03-2020,,,,,
ETH,06-04-2020,,,,,
FIN,22-03-2020,22-04-2020,,,,
FJI,,,,,,
FRA,15-02-2020,16-03-2020,25-03-2020,08-04-2020,,
GAB,21-03-2020,,,,,
GBR,07-03-2020,19-03-2020,28-03-2020,11-04-2020,,
GEO,06-04-2020,,,,,
GHA,22-03-2020,,,,,
GIN,16-04-2020,,,,,
GMB,24-03-2020,,,,,
GRC,12-03-2020,15-04-2020,,,,
GRL,,,,,,
GTM,16-03-2020,31-05-2020,,,,
GUM,22-03-2020,,,,,
GUY,13-03-2020,,,,,
HKG,04-02-2020,,,,,
HND,27-03-2020,08-05-2020,,,,
HRV,25-03-2020,26-05-2020,,,,
HTI,07-04-2020,,,,,
HUN,16-03-2020,13-04-2020,,,,
IDN,12-03-2020,29-03-2020,13-05-2020,,,
IND,13-03-2020,06-04-2020,29-04-2020,,,
IRL,12-03-2020,04-04-2020,26-04-2020,,,
IRN,20-02-2020,06-03-2020,19-03-2020,,,
IRQ,06-03-2020,06-05-2020,,,,
ISL,20-03-2020,,,,,
ISR,21-03-2020,12-04-2020,,,,
ITA,23-02-2020,05-03-2020,13-03-2020,29-03-2020,,
JAM,25-03-2020,,,,,
JOR,29-03-2020,,,,,
JPN,13-02-2020,13-04-2020,,,,
KAZ,30-03-2020,,,,,
KEN,27-03-2020,,,,,
KGZ,02-04-2020,,,,,
KHM,,,,,,
KWT,05-04-2020,17-05-2020,,,,
LAO,,,,,,
LBN,11-03-2020,,,,,
LBR,05-04-2020,,,,,
LBY,03-04-2020,,,,,
LKA,29-03-2020,,,,,
LSO,,,,,,
LTU,21-03-2020,,,,,
LUX,14-03-2020,08-05-2020,,,,
MAR,12-03-2020,11-04-2020,,,,
MDA,19-03-2020,28-04-2020,,,,
MDG,18-05-2020,,,,,
MEX,21-03-2020,07-04-2020,24-04-2020,02-06-2020,,
MLI,01-04-2020,,,,,
MMR,01-04-2020,,,,,
MNG,,,,,,
MOZ,26-05-2020,,,,,
MRT,03-04-2020,,,,,
MUS,22-03-2020,,,,,
MWI,08-04-2020,,,,,
MYS,18-03-2020,29-04-2020,,,,
NAM,15-03-2020,,,,,
NER,25-03-2020,,,,,
NGA,24-03-2020,07-05-2020,,,,
NIC,28-03-2020,,,,,
NLD,07-03-2020,21-03-2020,01-04-2020,,,
NOR,13-03-2020,13-04-2020,,,,
NPL,17-05-2020,,,,,
NZL,29-03-2020,,,,,
OMN,01-04-2020,,,,,
PAK,20-03-2020,15-04-2020,21-05-2020,,,
PAN,11-03-2020,16-04-2020,,,,
PER,20-03-2020,08-04-2020,01-05-2020,,,
PHL,02-02-2020,03-04-2020,08-06-2020,,,
PNG,,,,,,
POL,13-03-2020,07-04-2020,26-05-2020,,,
PRI,28-03-2020,08-05-2020,,,,
PRT,18-03-2020,29-03-2020,01-05-2020,,,
PRY,21-03-2020,,,,,
QAT,29-03-2020,,,,,
XKX,26-03-2020,,,,,
ROU,23-03-2020,04-04-2020,13-05-2020,,,
RUS,27-03-2020,12-04-2020,01-05-2020,,,
RWA,31-05-2020,,,,,
SAU,25-03-2020,21-04-2020,,,,
SDN,15-03-2020,19-05-2020,,,,
SEN,02-04-2020,,,,,
SGP,22-03-2020,,,,,
SLE,24-04-2020,,,,,
SLV,01-04-2020,,,,,
SMR,02-03-2020,,,,,
SOM,10-04-2020,,,,,
SRB,21-03-2020,17-04-2020,,,,
SSD,15-05-2020,,,,,
SUR,04-04-2020,,,,,
SVK,07-04-2020,,,,,
SVN,18-03-2020,09-05-2020,,,,
SWE,12-03-2020,29-03-2020,15-04-2020,,,
SYC,,,,,,
SYR,30-03-2020,,,,,
TCD,29-04-2020,,,,,
THA,01-03-2020,,,,,
TJK,04-05-2020,,,,,
TLS,,,,,,
TTO,26-03-2020,,,,,
TUN,21-03-2020,,,,,
TUR,19-03-2020,29-03-2020,11-04-2020,,,
TZA,29-03-2020,,,,,
UGA,,,,,,
UKR,19-03-2020,16-04-2020,,,,
URY,30-03-2020,,,,,
USA,01-03-2020,18-03-2020,26-03-2020,07-04-2020,28-05-2020,
UZB,29-03-2020,,,,,
VEN,27-03-2020,,,,,
VNM,,,,,,
YEM,01-05-2020,05-06-2020,,,,
ZAF,27-03-2020,30-04-2020,09-06-2020,,,
ZMB,03-04-2020,,,,,
ZWE,24-03-2020,,,,,
ARM,,,,,,
ATG,,,,,,
BHS,,,,,,
COM,,,,,,
CUW,,,,,,
CYM,,,,,,
FRO,,,,,,
GIB,,,,,,
GNB,,,,,,
GNQ,,,,,,
IMN,,,,,,
LIE,,,,,,
LVA,,,,,,
MCO,,,,,,
MDV,,,,,,
MLT,,,,,,
MNE,,,,,,
MNP,,,,,,
NCL,,,,,,
PYF,,,,,,
STP,,,,,,
SXM,,,,,,
TCA,,,,,,
TGO,,,,,,
GRD,,,,,,
VGB,,,,,,
