countryCode,restrictions_on_gatherings_of_less_than_100,restrictions_on_gatherings_of_more_than_100,stay_at_home_requirements,restrictions_on_internal_movement
ABW,29-03-2020,29-03-2020,29-03-2020,29-03-2020
AFG,05-04-2020,05-04-2020,25-03-2020,12-04-2020
AGO,27-03-2020,24-03-2020,27-03-2020,27-03-2020
ALB,18-04-2020,09-03-2020,13-03-2020,13-03-2020
AND,,,,
ARE,27-03-2020,27-03-2020,23-03-2020,23-03-2020
ARG,19-03-2020,19-03-2020,19-03-2020,20-03-2020
AUS,24-03-2020,16-03-2020,02-04-2020,19-03-2020
AUT,16-03-2020,16-03-2020,16-03-2020,13-03-2020
AZE,14-03-2020,14-03-2020,31-03-2020,19-03-2020
BDI,,,,
BEL,18-03-2020,18-03-2020,18-03-2020,14-03-2020
BEN,30-03-2020,30-03-2020,,30-03-2020
BFA,04-05-2020,04-05-2020,21-03-2020,21-03-2020
BGD,19-03-2020,19-03-2020,19-03-2020,19-03-2020
BGR,13-03-2020,13-03-2020,18-03-2020,18-03-2020
BHR,18-03-2020,18-03-2020,,
BIH,18-03-2020,10-03-2020,20-03-2020,20-03-2020
BLR,,,,
BLZ,16-03-2020,16-03-2020,27-04-2020,27-04-2020
BMU,04-04-2020,04-04-2020,04-04-2020,04-04-2020
BOL,17-03-2020,17-03-2020,17-03-2020,21-03-2020
BRA,18-03-2020,14-03-2020,05-05-2020,17-03-2020
BRB,17-03-2020,17-03-2020,03-04-2020,28-03-2020
BRN,13-03-2020,13-03-2020,,
BTN,27-03-2020,06-03-2020,,27-03-2020
BWA,16-03-2020,16-03-2020,02-04-2020,02-04-2020
CAF,26-03-2020,26-03-2020,,26-03-2020
CAN,16-03-2020,16-03-2020,,20-03-2020
CHE,17-03-2020,17-03-2020,17-03-2020,
CHL,25-03-2020,16-03-2020,25-03-2020,25-03-2020
CHN,22-01-2020,22-01-2020,01-02-2020,23-01-2020
CIV,19-03-2020,19-03-2020,,24-03-2020
CMR,18-03-2020,18-03-2020,,
COL,17-03-2020,12-03-2020,25-03-2020,25-03-2020
CRI,27-04-2020,27-04-2020,,17-03-2020
CUB,11-05-2020,11-05-2020,24-03-2020,23-03-2020
CYP,23-03-2020,23-03-2020,24-03-2020,24-03-2020
CZE,12-03-2020,10-03-2020,15-03-2020,16-03-2020
DEU,21-03-2020,21-03-2020,21-03-2020,19-03-2020
DJI,23-03-2020,23-03-2020,23-03-2020,23-03-2020
DMA,01-04-2020,01-04-2020,01-04-2020,01-04-2020
DNK,13-03-2020,13-03-2020,,
DOM,24-03-2020,24-03-2020,18-04-2020,20-03-2020
DZA,30-03-2020,30-03-2020,23-03-2020,23-03-2020
ECU,17-03-2020,17-03-2020,17-03-2020,17-03-2020
EGY,,,25-03-2020,25-03-2020
ERI,23-03-2020,23-03-2020,01-04-2020,01-04-2020
ESP,30-03-2020,30-03-2020,14-03-2020,
EST,25-03-2020,25-03-2020,29-03-2020,14-03-2020
ETH,08-04-2020,08-04-2020,,26-03-2020
FIN,,,,28-03-2020
FJI,19-03-2020,19-03-2020,19-03-2020,19-03-2020
FRA,17-03-2020,13-03-2020,17-03-2020,17-03-2020
GAB,13-03-2020,13-03-2020,10-04-2020,10-04-2020
GBR,23-03-2020,23-03-2020,23-03-2020,23-03-2020
GEO,21-03-2020,21-03-2020,23-03-2020,22-03-2020
GHA,16-03-2020,16-03-2020,30-03-2020,30-03-2020
GIN,27-03-2020,27-03-2020,30-03-2020,27-03-2020
GMB,18-03-2020,18-03-2020,,
GRC,18-03-2020,18-03-2020,23-03-2020,21-03-2020
GRL,18-03-2020,13-03-2020,,18-03-2020
GTM,15-03-2020,15-03-2020,22-03-2020,06-03-2020
GUM,16-03-2020,16-03-2020,,
GUY,03-04-2020,03-04-2020,03-04-2020,03-04-2020
HKG,29-03-2020,29-03-2020,,
HND,16-03-2020,16-03-2020,16-03-2020,16-03-2020
HRV,20-03-2020,20-03-2020,23-03-2020,23-03-2020
HTI,19-03-2020,19-03-2020,,19-03-2020
HUN,,,27-03-2020,28-03-2020
IDN,07-04-2020,07-04-2020,10-04-2020,24-04-2020
IND,19-03-2020,19-03-2020,22-03-2020,20-03-2020
IRL,15-03-2020,12-03-2020,28-03-2020,28-03-2020
IRN,,,,05-03-2020
IRQ,25-02-2020,25-02-2020,13-03-2020,11-03-2020
ISL,15-03-2020,15-03-2020,,
ISR,12-03-2020,12-03-2020,20-03-2020,03-04-2020
ITA,23-02-2020,23-02-2020,23-02-2020,21-02-2020
JAM,18-03-2020,18-03-2020,13-03-2020,13-03-2020
JOR,18-03-2020,18-03-2020,18-03-2020,18-03-2020
JPN,,,,
KAZ,19-03-2020,19-03-2020,19-03-2020,18-03-2020
KEN,13-03-2020,13-03-2020,27-03-2020,27-03-2020
KGZ,17-03-2020,17-03-2020,25-03-2020,25-03-2020
KHM,17-03-2020,17-03-2020,,09-04-2020
KWT,11-03-2020,11-03-2020,22-03-2020,06-04-2020
LAO,30-03-2020,30-03-2020,30-03-2020,30-03-2020
LBN,18-03-2020,18-03-2020,18-03-2020,
LBR,22-03-2020,22-03-2020,21-03-2020,21-03-2020
LBY,22-03-2020,22-03-2020,22-03-2020,22-03-2020
LKA,14-03-2020,14-03-2020,18-03-2020,18-03-2020
LSO,18-03-2020,18-03-2020,18-03-2020,18-03-2020
LTU,12-03-2020,12-03-2020,,10-04-2020
LUX,13-03-2020,09-03-2020,17-03-2020,15-03-2020
MAR,14-03-2020,14-03-2020,20-03-2020,13-03-2020
MDA,10-03-2020,10-03-2020,24-03-2020,24-03-2020
MDG,21-03-2020,21-03-2020,23-03-2020,21-03-2020
MEX,30-03-2020,24-03-2020,30-03-2020,30-03-2020
MLI,25-03-2020,25-03-2020,,25-03-2020
MMR,13-03-2020,13-03-2020,14-04-2020,01-04-2020
MNG,23-03-2020,23-03-2020,05-05-2020,21-02-2020
MOZ,23-03-2020,23-03-2020,,
MRT,19-03-2020,19-03-2020,19-03-2020,29-03-2020
MUS,23-03-2020,23-03-2020,23-03-2020,
MWI,20-03-2020,20-03-2020,,
