Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Afghanistan,AFG,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,4225552557.79553,4467967033.69782,.."
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,74.98,74.75,74.505
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.02,25.25,25.495
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,54.1971142358239,55.5959930153479,56.937760009803
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,475.938905031972,484.082268613262,453.798959628962
"Afghanistan,AFG,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,1.213014300247,1.63323347591045,2.83071572441668"
"Albania,ALB,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,2507720662.56971,2653871924.11064,3217498879.51758"
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,41.579,40.617,39.681
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.421,59.383,60.319
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.967189781022,104.870693430657,104.612262773723
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3416.05449687763,3674.49492886948,4188.69749100603
"Albania,ALB,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,24.5892114234726,24.0589869528204,25.5314674703334"
"Algeria,DZA,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,55532966445.5777,62612527371.5228,68805545406.3595"
Algeria,DZA,Rural population (% of total population),SP.RUR.TOTL.ZS,28.541,27.948,27.371
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.459,72.052,72.629
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.0259574932612,17.3777146120063,17.7300750711665
Algeria,DZA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3272.73358986895,3248.22844193797,..
"Algeria,DZA,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,0.923644158656214,1.05109301248615,.."
"American Samoa,ASM,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,..,..,.."
American Samoa,ASM,Rural population (% of total population),SP.RUR.TOTL.ZS,12.802,12.83,12.847
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.198,87.17,87.153
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,278.705,278.1,277.325
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..
"American Samoa,ASM,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,..,..,.."
"Andorra,AND,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,283263274.336283,299481631.733153,.."
Andorra,AND,Rural population (% of total population),SP.RUR.TOTL.ZS,11.752,11.85,11.938
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.248,88.15,88.062
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,164.46170212766,163.831914893617,163.842553191489
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..
"Andorra,AND,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,..,..,.."
"Angola,AGO,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,43122816968.9667,51497116403.4813,.."
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,35.851,35.161,34.486
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.149,64.839,65.514
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,23.1350637683484,23.9165380604797,24.7130520574316
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1694.596705512,1882.46721096306,1214.54334584768
"Angola,AGO,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,3.20769786123003,4.30342893395539,2.94352197094216"
"Antigua and Barbuda,ATG,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,257700000,282155555.555556,340618518.518519"
Antigua and Barbuda,ATG,Rural population (% of total population),SP.RUR.TOTL.ZS,75.154,75.287,75.401
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.846,24.713,24.599
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,214.834090909091,216.877272727273,218.831818181818
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..
"Antigua and Barbuda,ATG,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,10.9403124616895,10.920043283727,10.134036918054"
"Arab World,ARB,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,961275919741.13,1045285652094.18,1238156790966.86"
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,41.6547247239303,41.3585165072653,41.0745814068609
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.3452752760698,58.6414834927347,58.9254185931391
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,35.9687643273844,36.66980407291,37.3723653654038
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5324.44762603808,5319.66548064262,5478.66702150823
"Arab World,ARB,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,10.3869523102846,10.6582096790849,10.6808384455008"
"Argentina,ARG,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,122958567447.25,140551577031.523,119400333756.896"
Argentina,ARG,Rural population (% of total population),SP.RUR.TOTL.ZS,8.373,8.251,8.13
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.627,91.749,91.87
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,15.9281350828921,16.0941907925267,16.2585100979651
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,10892.4942331946,12344.0377978229,9631.7109854384
"Argentina,ARG,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,16.2728419653326,15.8684836312874,15.093929189436"
"Armenia,ARM,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,2697399020.41299,2975183151.01786,3106209652.37376"
Armenia,ARM,Rural population (% of total population),SP.RUR.TOTL.ZS,36.918,36.897,36.851
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.082,63.103,63.149
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,103.131225851774,103.435511064278,103.680224798033
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3085.06330370131,3400.66922758257,3527.03807415261
"Armenia,ARM,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,24.7745361364918,23.1512340852509,21.933781319289"
"Aruba,ABW,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,..,..,.."
Aruba,ABW,Rural population (% of total population),SP.RUR.TOTL.ZS,56.808,56.707,56.589
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.192,43.293,43.411
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,582.622222222222,585.366666666667,588.027777777778
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,21383.0302117749,21400.0267328522,..
"Aruba,ABW,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,16.5113569180105,17.7607200931077,15.9527998724182"
"Australia,AUS,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,269390013102.344,311608718606.23,345863886520.425"
Australia,AUS,Rural population (% of total population),SP.RUR.TOTL.ZS,14.2,14.096,13.988
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.8,85.904,86.012
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.14493553058884,3.19836141871706,3.24787091037205
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,38730.204956193,41849.0668664999,43346.0145145518
"Australia,AUS,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,13.676229017858,13.7149680150395,13.6517114295221"
"Austria,AUT,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,100456549963.827,106289197779.665,117233637587.465"
Austria,AUT,Rural population (% of total population),SP.RUR.TOTL.ZS,42.095,41.906,41.703
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.905,58.094,58.297
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,105.869493435483,106.607445296677,107.127966860564
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,37144.0909409012,38491.2753946778,42074.3940319437
"Austria,AUT,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,6.0474842171807,6.05161005757337,6.01142300861459"
"Azerbaijan,AZE,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,18009024252.6791,20310887752.7307,24506529411.7647"
Azerbaijan,AZE,Rural population (% of total population),SP.RUR.TOTL.ZS,44.979,44.657,44.32
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.021,55.343,55.68
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,118.033288980283,119.197205757832,120.234667956937
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2996.27025139383,3168.80915683955,3282.23485413186
"Azerbaijan,AZE,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,15.6894958613433,16.386956193334,13.8546875412132"
"Bahamas,BHS,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,1599600000,1692800000,1615500000"
Bahamas,BHS,Rural population (% of total population),SP.RUR.TOTL.ZS,17.168,17.075,16.975
Bahamas,BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.832,82.925,83.025
Bahamas,BHS,Population density (people per sq. km of land area),EN.POP.DNST,37.7553446553447,38.137962037962,38.5254745254745
Bahamas,BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,26074.6595626548,25767.1692483531,24321.4953367811
"Bahamas,BHS,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,9.84966144163229,11.2568075863374,10.4405650141285"
"Bahrain,BHR,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,12698271276.5957,14638856382.9787,16395824468.0851"
Bahrain,BHR,Rural population (% of total population),SP.RUR.TOTL.ZS,10.91,10.814,10.713
